official_id,full_name,league_id,primary_conference,experience_years
cbb-olandis-poole-64,Olandis Poole,cbb,SEC,6
cbb-randy-mccall-87,Randy McCall,cbb,Big 12,6
cbb-randy-richardson-119,Randy Richardson,cbb,Big Ten,6
cbb-bret-smith-78,Bret Smith,cbb,Big 12,6
cbb-greg-evans-164,Greg Evans,cbb,Big East,6
cbb-bo-boroski-42,Bo Boroski,cbb,Big Ten,2
cbb-rob-rorke-185,Rob Rorke,cbb,SEC,6
cbb-jamie-luckie-17,Jamie Luckie,cbb,ACC,4
cbb-todd-austin-166,Todd Austin,cbb,SEC,6
cbb-wil-howard-61,Wil Howard,cbb,SEC,6
cbb-evon-burroughs-161,Evon Burroughs,cbb,Big East,6
cbb-jeff-anderson-20,Jeff Anderson,cbb,Big East,6
cbb-john-higgins-48,John Higgins,cbb,Big 12,3
cbb-chance-moore-72,Chance Moore,cbb,Big 12,6
cbb-deldre-carr-95,Deldre Carr,cbb,Big 12,6
cbb-tony-greene-57,Tony Greene,cbb,SEC,4
cbb-gerry-pollard-82,Gerry Pollard,cbb,Big 12,4
cbb-tim-comer-191,Tim Comer,cbb,Big Ten,6
cbb-edwin-young-137,Edwin Young,cbb,Big Ten,6
cbb-eric-curry-40,Eric Curry,cbb,Big 12,6
cbb-k-b-burdett-65,K.B. Burdett,cbb,SEC,6
cbb-nate-harris-94,Nate Harris,cbb,Big Ten,6
cbb-darron-george-73,Darron George,cbb,Big 12,6
cbb-rick-crawford-70,Rick Crawford,cbb,Big 12,6
cbb-rob-kueneman-140,Rob Kueneman,cbb,Big Ten,6
cbb-jason-baker-67,Jason Baker,cbb,SEC,6
cbb-mark-schnur-1,Mark Schnur,cbb,ACC,6
cbb-mike-nance-62,Mike Nance,cbb,SEC,6
cbb-k-b-burdett-jr-206,K.B. Burdett Jr.,cbb,SEC,5
cbb-amy-bonner-74,Amy Bonner,cbb,Big 12,6
cbb-kevin-brill-129,Kevin Brill,cbb,Big Ten,6
cbb-bill-ek-135,Bill Ek,cbb,Big Ten,5
cbb-justin-porterfield-49,Justin Porterfield,cbb,ACC,6
cbb-anthony-jordan-63,Anthony Jordan,cbb,SEC,6
cbb-steve-mcjunkins-144,Steve McJunkins,cbb,Big Ten,6
cbb-michael-palau-227,Michael Palau,cbb,Big East,5
cbb-lewis-garrison-145,Lewis Garrison,cbb,Big Ten,5
cbb-raymie-styons-8,Raymie Styons,cbb,ACC,4
cbb-terry-wymer-45,Terry Wymer,cbb,SEC,2
cbb-gary-maxwell-75,Gary Maxwell,cbb,Big 12,6
cbb-jason-phillips-344,Jason Phillips,cbb,Big Ten,2
cbb-jerry-heater-7,Jerry Heater,cbb,ACC,6
cbb-mike-littlewood-268,Mike Littlewood,cbb,Big Ten,4
cbb-antinio-petty-71,Antinio Petty,cbb,Big 12,6
cbb-donnie-eppley-138,Donnie Eppley,cbb,Big Ten,2
cbb-john-floyd-225,John Floyd,cbb,Big Ten,5
cbb-jemel-spearman-197,Jemel Spearman,cbb,ACC,5
cbb-chris-pacsi-158,Chris Pacsi,cbb,Big 12,6
cbb-lucas-santos-242,Lucas Santos,cbb,SEC,5
cbb-deron-white-98,Deron White,cbb,Big 12,6
cbb-scott-brown-97,Scott Brown,cbb,Other,6
cbb-chris-beaver-141,Chris Beaver,cbb,Big Ten,4
cbb-david-hall-118,David Hall,cbb,Other,5
cbb-tommy-johnson-306,Tommy Johnson,cbb,Big 12,3
cbb-chris-rastatter-84,Chris Rastatter,cbb,Other,2
cbb-frank-harvey-112,Frank Harvey,cbb,Big 12,4
cbb-andy-o-brien-316,Andy O'Brien,cbb,Big Ten,3
cbb-michael-stephens-12,Michael Stephens,cbb,Big East,1
cbb-mike-scyphers-127,Mike Scyphers,cbb,Big Ten,5
cbb-wally-rutecki-160,Wally Rutecki,cbb,Big East,5
cbb-nathan-hall-228,Nathan Hall,cbb,Big East,5
cbb-larry-spaulding-77,Larry Spaulding,cbb,Big 12,4
cbb-d-g-nelson-122,D.G. Nelson,cbb,Big 12,6
cbb-tyler-kumpf-246,Tyler Kumpf,cbb,Big 12,5
cbb-keith-patterson-204,Keith Patterson,cbb,Big 12,5
